"lhs","op","rhs","est","se","t","df","pvalue","ci.lower","ci.upper"
"dQ1S","|","t3",0.303299956054389,0,NA,NA,NA,0.303299956054389,0.303299956054389
"dQ6S","|","t1",-0.730533059550865,0,NA,NA,NA,-0.730533059550865,-0.730533059550865
"dQ6S","|","t2",0.0720468075653362,0,NA,NA,NA,0.0720468075653362,0.0720468075653362
"dQ6S","|","t3",0.650811849033367,0,NA,NA,NA,0.650811849033367,0.650811849033367
"dQ8S","|","t1",-0.707038186058105,0,NA,NA,NA,-0.707038186058105,-0.707038186058105
"dQ8S","|","t2",0.13343065921852,0,NA,NA,NA,0.13343065921852,0.13343065921852
"dQ8S","|","t3",0.745843974436051,0,NA,NA,NA,0.745843974436051,0.745843974436051
"dQ11S","|","t1",-1.36782153616425,0,NA,NA,NA,-1.36782153616425,-1.36782153616425
"dQ11S","|","t2",-0.598074954570488,0,NA,NA,NA,-0.598074954570488,-0.598074954570488
"dQ11S","|","t3",0.0563354954059741,0,NA,NA,NA,0.0563354954059741,0.0563354954059741
"dQ12S","|","t1",-1.24840588342348,0,NA,NA,NA,-1.24840588342348,-1.24840588342348
"dQ12S","|","t2",-0.542133737339836,0,NA,NA,NA,-0.542133737339836,-0.542133737339836
"dQ12S","|","t3",0.242081357528297,0,NA,NA,NA,0.242081357528297,0.242081357528297
"dQ14S","|","t1",-0.970295319782553,0,NA,NA,NA,-0.970295319782553,-0.970295319782553
"dQ14S","|","t2",-0.119438683975769,0,NA,NA,NA,-0.119438683975769,-0.119438683975769
"dQ14S","|","t3",0.509392728260097,0,NA,NA,NA,0.509392728260097,0.509392728260097
"dQ18S","|","t1",-0.295659065121609,0,NA,NA,NA,-0.295659065121609,-0.295659065121609
"dQ18S","|","t2",0.400550532494598,0,NA,NA,NA,0.400550532494598,0.400550532494598
"dQ18S","|","t3",0.936574421500078,0,NA,NA,NA,0.936574421500078,0.936574421500078
"rQ1","|","t1",-0.803784699733124,0,NA,NA,NA,-0.803784699733124,-0.803784699733124
"rQ1","|","t2",-0.0345330672163458,0,NA,NA,NA,-0.0345330672163458,-0.0345330672163458
"rQ1","|","t3",0.725902513315208,0,NA,NA,NA,0.725902513315208,0.725902513315208
"rQ1","|","t4",1.7567536489881,0,NA,NA,NA,1.7567536489881,1.7567536489881
"rQ3","|","t1",-0.762169578251028,0,NA,NA,NA,-0.762169578251028,-0.762169578251028
"rQ3","|","t2",0.114323755678082,0,NA,NA,NA,0.114323755678082,0.114323755678082
"rQ3","|","t3",0.592865816362358,0,NA,NA,NA,0.592865816362358,0.592865816362358
"rQ3","|","t4",1.73416366916691,0,NA,NA,NA,1.73416366916691,1.73416366916691
"rQ5","|","t1",-2.22906304172,0,NA,NA,NA,-2.22906304172,-2.22906304172
"rQ5","|","t2",-1.04443987645547,0,NA,NA,NA,-1.04443987645547,-1.04443987645547
"rQ5","|","t3",-0.399936273573167,0,NA,NA,NA,-0.399936273573167,-0.399936273573167
"rQ5","|","t4",0.699915024801887,0,NA,NA,NA,0.699915024801887,0.699915024801887
"rQ2_r","|","t1",-1.43357328539498,0,NA,NA,NA,-1.43357328539498,-1.43357328539498
"rQ2_r","|","t2",-0.18517930019348,0,NA,NA,NA,-0.18517930019348,-0.18517930019348
"rQ2_r","|","t3",0.383033045314736,0,NA,NA,NA,0.383033045314736,0.383033045314736
"rQ2_r","|","t4",1.17087125632241,0,NA,NA,NA,1.17087125632241,1.17087125632241
"rQ4_r","|","t1",-1.35242584752724,0,NA,NA,NA,-1.35242584752724,-1.35242584752724
"rQ4_r","|","t2",-0.331943501735985,0,NA,NA,NA,-0.331943501735985,-0.331943501735985
"rQ4_r","|","t3",0.154001418655767,0,NA,NA,NA,0.154001418655767,0.154001418655767
"rQ4_r","|","t4",1.21471372445343,0,NA,NA,NA,1.21471372445343,1.21471372445343
"rQ6_r","|","t1",-1.30369180739587,0,NA,NA,NA,-1.30369180739587,-1.30369180739587
"rQ6_r","|","t2",-0.314375797800865,0,NA,NA,NA,-0.314375797800865,-0.314375797800865
"rQ6_r","|","t3",0.259234682400796,0,NA,NA,NA,0.259234682400796,0.259234682400796
"rQ6_r","|","t4",1.33418238837556,0,NA,NA,NA,1.33418238837556,1.33418238837556
"dQ3D","~~","dQ3D",1,0,NA,NA,NA,1,1
"dQ5D","~~","dQ5D",1,0,NA,NA,NA,1,1
"dQ10D","~~","dQ10D",1,0,NA,NA,NA,1,1
"dQ13D","~~","dQ13D",1,0,NA,NA,NA,1,1
"dQ16D","~~","dQ16D",1,0,NA,NA,NA,1,1
"dQ17D","~~","dQ17D",1,0,NA,NA,NA,1,1
"dQ21D","~~","dQ21D",1,0,NA,NA,NA,1,1
"dQ2A","~~","dQ2A",1,0,NA,NA,NA,1,1
"dQ4A","~~","dQ4A",1,0,NA,NA,NA,1,1
"dQ7A","~~","dQ7A",1,0,NA,NA,NA,1,1
"dQ9A","~~","dQ9A",1,0,NA,NA,NA,1,1
"dQ15A","~~","dQ15A",1,0,NA,NA,NA,1,1
"dQ19A","~~","dQ19A",1,0,NA,NA,NA,1,1
"dQ20A","~~","dQ20A",1,0,NA,NA,NA,1,1
"dQ1S","~~","dQ1S",1,0,NA,NA,NA,1,1
"dQ6S","~~","dQ6S",1,0,NA,NA,NA,1,1
"dQ8S","~~","dQ8S",1,0,NA,NA,NA,1,1
"dQ11S","~~","dQ11S",1,0,NA,NA,NA,1,1
"dQ12S","~~","dQ12S",1,0,NA,NA,NA,1,1
"dQ14S","~~","dQ14S",1,0,NA,NA,NA,1,1
"dQ18S","~~","dQ18S",1,0,NA,NA,NA,1,1
"rQ1","~~","rQ1",1,0,NA,NA,NA,1,1
"rQ3","~~","rQ3",1,0,NA,NA,NA,1,1
"rQ5","~~","rQ5",1,0,NA,NA,NA,1,1
"rQ2_r","~~","rQ2_r",1,0,NA,NA,NA,1,1
"rQ4_r","~~","rQ4_r",1,0,NA,NA,NA,1,1
"rQ6_r","~~","rQ6_r",1,0,NA,NA,NA,1,1
"Dep","~~","Dep",1,0,NA,NA,NA,1,1
"Anx","~~","Anx",1,0,NA,NA,NA,1,1
"Str","~~","Str",1,0,NA,NA,NA,1,1
"BRS","~~","BRS",1,0,NA,NA,NA,1,1
"G_Female","~~","G_Female",0.250019219575412,0,NA,NA,NA,0.250019219575412,0.250019219575412
"G_Female","~~","AY_1st_Yr",0.0102467793482917,0,NA,NA,NA,0.0102467793482917,0.0102467793482917
"G_Female","~~","AY_3rd_Yr",-0.019395297244462,0,NA,NA,NA,-0.019395297244462,-0.019395297244462
"G_Female","~~","AY_4th_Yr",0.00369564978638815,0,NA,NA,NA,0.00369564978638815,0.00369564978638815
"G_Female","~~","RES_Suburb_Semi_Urban",-0.00281704062469111,0,NA,NA,NA,-0.00281704062469111,-0.00281704062469111
"G_Female","~~","RES_Rural",-0.0243155085499654,0,NA,NA,NA,-0.0243155085499654,-0.0243155085499654
"G_Female","~~","cgpa",0.0166669371135492,0,NA,NA,NA,0.0166669371135492,0.0166669371135492
"G_Female","~~","family_income",4054.81065972565,0,NA,NA,NA,4054.81065972565,4054.81065972565
"AY_1st_Yr","~~","AY_1st_Yr",0.195051233896741,0,NA,NA,NA,0.195051233896741,0.195051233896741
"AY_1st_Yr","~~","AY_3rd_Yr",-0.0509593313784279,0,NA,NA,NA,-0.0509593313784279,-0.0509593313784279
"AY_1st_Yr","~~","AY_4th_Yr",-0.038219498533821,0,NA,NA,NA,-0.038219498533821,-0.038219498533821
"AY_1st_Yr","~~","RES_Suburb_Semi_Urban",-0.00721557774043689,0,NA,NA,NA,-0.00721557774043689,-0.00721557774043689
"AY_1st_Yr","~~","RES_Rural",0.00248207088179412,0,NA,NA,NA,0.00248207088179412,0.00248207088179412
"AY_1st_Yr","~~","cgpa",-0.0090287579761238,0,NA,NA,NA,-0.0090287579761238,-0.0090287579761238
"AY_1st_Yr","~~","family_income",4389.22989906977,0,NA,NA,NA,4389.22989906977,4389.22989906977
"AY_3rd_Yr","~~","AY_3rd_Yr",0.155425960704205,0,NA,NA,NA,0.155425960704205,0.155425960704205
"AY_3rd_Yr","~~","AY_4th_Yr",-0.0277091364370202,0,NA,NA,NA,-0.0277091364370202,-0.0277091364370202
"AY_3rd_Yr","~~","RES_Suburb_Semi_Urban",-0.0133987897158798,0,NA,NA,NA,-0.0133987897158798,-0.0133987897158798
"AY_3rd_Yr","~~","RES_Rural",0.00453581979726094,0,NA,NA,NA,0.00453581979726094,0.00453581979726094
"AY_3rd_Yr","~~","cgpa",0.0227823635684711,0,NA,NA,NA,0.0227823635684711,0.0227823635684711
"AY_3rd_Yr","~~","family_income",-371.185188846057,0,NA,NA,NA,-371.185188846057,-371.185188846057
"AY_4th_Yr","~~","AY_4th_Yr",0.123496754637409,0,NA,NA,NA,0.123496754637409,0.123496754637409
"AY_4th_Yr","~~","RES_Suburb_Semi_Urban",0.00777843673464905,0,NA,NA,NA,0.00777843673464905,0.00777843673464905
"AY_4th_Yr","~~","RES_Rural",-0.00530460281374584,0,NA,NA,NA,-0.00530460281374584,-0.00530460281374584
"AY_4th_Yr","~~","cgpa",-0.00256028370838962,0,NA,NA,NA,-0.00256028370838962,-0.00256028370838962
"AY_4th_Yr","~~","family_income",-1112.20937256323,0,NA,NA,NA,-1112.20937256323,-1112.20937256323
"RES_Suburb_Semi_Urban","~~","RES_Suburb_Semi_Urban",0.179244505947086,0,NA,NA,NA,0.179244505947086,0.179244505947086
"RES_Suburb_Semi_Urban","~~","RES_Rural",-0.0650390431946229,0,NA,NA,NA,-0.0650390431946229,-0.0650390431946229
"RES_Suburb_Semi_Urban","~~","cgpa",-0.0104599045336233,0,NA,NA,NA,-0.0104599045336233,-0.0104599045336233
"RES_Suburb_Semi_Urban","~~","family_income",351.611149550262,0,NA,NA,NA,351.611149550262,351.611149550262
"RES_Rural","~~","RES_Rural",0.201113637112451,0,NA,NA,NA,0.201113637112451,0.201113637112451
"RES_Rural","~~","cgpa",-0.0130741842663064,0,NA,NA,NA,-0.0130741842663064,-0.0130741842663064
"RES_Rural","~~","family_income",-4379.28953466662,0,NA,NA,NA,-4379.28953466662,-4379.28953466662
"cgpa","~~","cgpa",0.0932583925226242,0,NA,NA,NA,0.0932583925226242,0.0932583925226242
"cgpa","~~","family_income",1147.0002009132,0,NA,NA,NA,1147.0002009132,1147.0002009132
"family_income","~~","family_income",3872330770.33431,0,NA,NA,NA,3872330770.33431,3872330770.33431
"dQ3D","~*~","dQ3D",0.83797249183453,0,NA,NA,NA,0.83797249183453,0.83797249183453
"dQ5D","~*~","dQ5D",0.870011023750569,0,NA,NA,NA,0.870011023750569,0.870011023750569
"dQ10D","~*~","dQ10D",0.714054015722563,0,NA,NA,NA,0.714054015722563,0.714054015722563
"dQ13D","~*~","dQ13D",0.70220861411024,0,NA,NA,NA,0.70220861411024,0.70220861411024
"dQ16D","~*~","dQ16D",0.819360189489235,0,NA,NA,NA,0.819360189489235,0.819360189489235
"dQ17D","~*~","dQ17D",0.738576131323957,0,NA,NA,NA,0.738576131323957,0.738576131323957
"dQ21D","~*~","dQ21D",0.727518123296014,0,NA,NA,NA,0.727518123296014,0.727518123296014
"dQ2A","~*~","dQ2A",0.948895552436968,0,NA,NA,NA,0.948895552436968,0.948895552436968
"dQ4A","~*~","dQ4A",0.877272856668228,0,NA,NA,NA,0.877272856668228,0.877272856668228
"dQ7A","~*~","dQ7A",0.848237169372698,0,NA,NA,NA,0.848237169372698,0.848237169372698
"dQ9A","~*~","dQ9A",0.735042329509736,0,NA,NA,NA,0.735042329509736,0.735042329509736
"dQ15A","~*~","dQ15A",0.67471234318845,0,NA,NA,NA,0.67471234318845,0.67471234318845
"dQ19A","~*~","dQ19A",0.845974953716299,0,NA,NA,NA,0.845974953716299,0.845974953716299
"dQ20A","~*~","dQ20A",0.802422149880384,0,NA,NA,NA,0.802422149880384,0.802422149880384
"dQ1S","~*~","dQ1S",0.960137102881144,0,NA,NA,NA,0.960137102881144,0.960137102881144
"dQ6S","~*~","dQ6S",0.841371492791811,0,NA,NA,NA,0.841371492791811,0.841371492791811
"dQ8S","~*~","dQ8S",0.775868900471703,0,NA,NA,NA,0.775868900471703,0.775868900471703
"dQ11S","~*~","dQ11S",0.736821762072491,0,NA,NA,NA,0.736821762072491,0.736821762072491
"dQ12S","~*~","dQ12S",0.814856701883557,0,NA,NA,NA,0.814856701883557,0.814856701883557
"dQ14S","~*~","dQ14S",0.921595879658344,0,NA,NA,NA,0.921595879658344,0.921595879658344
"dQ18S","~*~","dQ18S",0.850120350550915,0,NA,NA,NA,0.850120350550915,0.850120350550915
"rQ1","~*~","rQ1",0.914803172199132,0,NA,NA,NA,0.914803172199132,0.914803172199132
"rQ3","~*~","rQ3",0.82098269395785,0,NA,NA,NA,0.82098269395785,0.82098269395785
"rQ5","~*~","rQ5",0.952785277194008,0,NA,NA,NA,0.952785277194008,0.952785277194008
"rQ2_r","~*~","rQ2_r",0.840312120979266,0,NA,NA,NA,0.840312120979266,0.840312120979266
"rQ4_r","~*~","rQ4_r",0.800666960122298,0,NA,NA,NA,0.800666960122298,0.800666960122298
"rQ6_r","~*~","rQ6_r",0.716999393748254,0,NA,NA,NA,0.716999393748254,0.716999393748254
"dQ3D","~1","",0,0,NA,NA,NA,0,0
"dQ5D","~1","",0,0,NA,NA,NA,0,0
"dQ10D","~1","",0,0,NA,NA,NA,0,0
"dQ13D","~1","",0,0,NA,NA,NA,0,0
"dQ16D","~1","",0,0,NA,NA,NA,0,0
"dQ17D","~1","",0,0,NA,NA,NA,0,0
"dQ21D","~1","",0,0,NA,NA,NA,0,0
"dQ2A","~1","",0,0,NA,NA,NA,0,0
"dQ4A","~1","",0,0,NA,NA,NA,0,0
"dQ7A","~1","",0,0,NA,NA,NA,0,0
"dQ9A","~1","",0,0,NA,NA,NA,0,0
"dQ15A","~1","",0,0,NA,NA,NA,0,0
"dQ19A","~1","",0,0,NA,NA,NA,0,0
"dQ20A","~1","",0,0,NA,NA,NA,0,0
"dQ1S","~1","",0,0,NA,NA,NA,0,0
"dQ6S","~1","",0,0,NA,NA,NA,0,0
"dQ8S","~1","",0,0,NA,NA,NA,0,0
"dQ11S","~1","",0,0,NA,NA,NA,0,0
"dQ12S","~1","",0,0,NA,NA,NA,0,0
"dQ14S","~1","",0,0,NA,NA,NA,0,0
"dQ18S","~1","",0,0,NA,NA,NA,0,0
"rQ1","~1","",0,0,NA,NA,NA,0,0
"rQ3","~1","",0,0,NA,NA,NA,0,0
"rQ5","~1","",0,0,NA,NA,NA,0,0
"rQ2_r","~1","",0,0,NA,NA,NA,0,0
"rQ4_r","~1","",0,0,NA,NA,NA,0,0
"rQ6_r","~1","",0,0,NA,NA,NA,0,0
"G_Female","~1","",0.480132450331126,0,NA,NA,NA,0.480132450331126,0.480132450331126
"AY_1st_Yr","~1","",0.264900662251656,0,NA,NA,NA,0.264900662251656,0.264900662251656
"AY_3rd_Yr","~1","",0.19205298013245,0,NA,NA,NA,0.19205298013245,0.19205298013245
"AY_4th_Yr","~1","",0.144039735099338,0,NA,NA,NA,0.144039735099338,0.144039735099338
"RES_Suburb_Semi_Urban","~1","",0.233443708609272,0,NA,NA,NA,0.233443708609272,0.233443708609272
"RES_Rural","~1","",0.278145695364238,0,NA,NA,NA,0.278145695364238,0.278145695364238
"cgpa","~1","",3.43181150662252,0,NA,NA,NA,3.43181150662252,3.43181150662252
"family_income","~1","",59127.1523178808,0,NA,NA,NA,59127.1523178808,59127.1523178808
"Dep","~1","",0,0,NA,NA,NA,0,0
"Anx","~1","",0,0,NA,NA,NA,0,0
"Str","~1","",0,0,NA,NA,NA,0,0
"BRS","~1","",0,0,NA,NA,NA,0,0
