"lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"Dep","=~","dQ3D","",0.508784015141384,0.0506653268007296,10.0420553318933,0,0.409481799347002,0.608086230935766,0.615137287534751,0.523944619416725,0.523944619416725
"Dep","=~","dQ5D","",0.476455162081418,0.0494295517176969,9.63907511851531,0,0.379575020942772,0.573335303220064,0.576050597724163,0.499155125879109,0.499155125879109
"Dep","=~","dQ10D","",0.81781331433455,0.0670562730158299,12.1959255645104,0,0.686385434286039,0.949241194383062,0.988764286845302,0.703100693446353,0.703100693446353
"Dep","=~","dQ13D","",0.899384096556595,0.0753180017418128,11.9411571703621,0,0.751763525755117,1.04700466735807,1.08738615432715,0.736064312502998,0.736064312502998
"Dep","=~","dQ16D","",0.59083494874772,0.0529911073572812,11.1496999820016,0,0.486974286826554,0.694695610668887,0.71433967447348,0.581267267624076,0.581267267624076
"Dep","=~","dQ17D","",0.760875987187571,0.0634549221906491,11.9908111289071,0,0.636506625052108,0.885245349323035,0.919925109633851,0.677026679635903,0.677026679635903
"Dep","=~","dQ21D","",0.799615312374296,0.0692213082759189,11.5515775747404,0,0.66394404119075,0.935286583557841,0.966762279645307,0.69505763143925,0.69505763143925
"Anx","=~","dQ2A","",0.286791115073162,0.044874973814132,6.39089208744777,1.64920743728203e-10,0.198837782590285,0.374744447556039,0.331264614326748,0.314459820177483,0.314459820177483
"Anx","=~","dQ4A","",0.504637631526951,0.0526916515311121,9.57718380166893,0,0.401363892240036,0.607911370813866,0.582893198556354,0.503587287041668,0.503587287041668
"Anx","=~","dQ7A","",0.562466669339648,0.0520320234280861,10.8100095341677,0,0.460485777377854,0.664447561301441,0.649689946785541,0.544805561570204,0.544805561570204
"Anx","=~","dQ9A","",0.808094902188698,0.0634282295877467,12.7403036067841,0,0.683777856593577,0.932411947783819,0.933408435769218,0.682347591720859,0.682347591720859
"Anx","=~","dQ15A","",1.03668837886778,0.0792975041532784,13.0734048938528,0,0.881268126663444,1.19210863107213,1.1974505413637,0.767551116685591,0.767551116685591
"Anx","=~","dQ19A","",0.593371458397288,0.0529535566984743,11.205507153675,0,0.489584394414979,0.697158522379598,0.685387227802833,0.565344846456547,0.565344846456547
"Anx","=~","dQ20A","",0.702084805362586,0.0599967328183166,11.7020506348013,0,0.584493369848613,0.819676240876559,0.810959057130398,0.629871427270448,0.629871427270448
"Str","=~","dQ1S","",0.274203198655172,0.0417310835644356,6.57071840063255,5.00730568120389e-11,0.192411777833047,0.355994619477297,0.321409557220798,0.305992773314952,0.305992773314952
"Str","=~","dQ6S","",0.573178487238218,0.0543008014947238,10.555617439531,0,0.466750871976901,0.679606102499535,0.671855925442347,0.557678666169943,0.557678666169943
"Str","=~","dQ8S","",0.72376447155474,0.0633784967115442,11.4197166090705,0,0.599544900605823,0.847984042503657,0.848366537937781,0.646924992017836,0.646924992017836
"Str","=~","dQ11S","",0.826687862578394,0.0661598785996151,12.4953050107804,0,0.697016883301606,0.956358841855181,0.969009045752492,0.695891178273706,0.695891178273706
"Str","=~","dQ12S","",0.596644195499311,0.0541672810015501,11.0148448374626,0,0.490478275595812,0.70281011540281,0.69936145031974,0.573111098911574,0.573111098911574
"Str","=~","dQ14S","",0.369229707738661,0.045614314677915,8.09460166936215,6.66133814775094e-16,0.279827293790471,0.458632121686852,0.432795669266746,0.397191971171932,0.397191971171932
"Str","=~","dQ18S","",0.601001772945865,0.0545633076873991,11.0147606224514,0,0.494059655001185,0.707943890890545,0.70446922092388,0.575911883371569,0.575911883371569
"BRS","=~","rQ1","",0.431518843018046,0.0589806027377958,7.31628404912046,2.54907206453936e-13,0.315918985865502,0.54711870017059,0.431954672295681,0.396541621797197,0.396541621797197
"BRS","=~","rQ3","",0.695084660561707,0.0697625530838857,9.96357830720308,0,0.558352569047727,0.831816752075686,0.695786688411496,0.571138894041352,0.571138894041352
"BRS","=~","rQ5","",0.344167707286448,0.0573394562357354,6.00228411430163,1.94560856314752e-09,0.231784438171296,0.4565509764016,0.344515312879295,0.325726802922111,0.325726802922111
"BRS","=~","rQ2_r","",0.686312827121145,0.0791465572275494,8.6714173194921,0,0.53118842545481,0.84143722878748,0.687005995515794,0.566252301296135,0.566252301296135
"BRS","=~","rQ4_r","",0.798873151045676,0.0803393482708386,9.94373452411549,0,0.641410921893412,0.95633538019794,0.799680004127472,0.624542649194704,0.624542649194704
"BRS","=~","rQ6_r","",0.973146130597736,0.0972094814112069,10.0108149582778,0,0.782619048075955,1.16367321311952,0.974128997469007,0.697780215401468,0.697780215401468
"BRS","~","RES_Suburb_Semi_Urban","a1",-0.0976891729408484,0.117697357583753,-0.830003110913796,0.406537024782079,-0.328371754880536,0.13299340899884,-0.0975906075023748,-0.0412933779740884,-0.0975906075023748
"BRS","~","RES_Rural","a2",-0.082063798838388,0.113270098446919,-0.724496579093601,0.468760926599084,-0.304069112319655,0.139941514642879,-0.0819809989326071,-0.0368132064320383,-0.0819809989326071
"Dep","~","BRS","b1",-0.663124151841326,0.0675911321221963,-9.81081587215436,0,-0.795600336475119,-0.530647967207533,-0.549028212849735,-0.549028212849735,-0.549028212849735
"Dep","~","RES_Suburb_Semi_Urban","c1",0.254165250966047,0.125829915215955,2.01991116762527,0.0433926026914047,0.00754314896504771,0.500787352967047,0.210221717194501,0.0889508227137866,0.210221717194501
"Dep","~","RES_Rural","c2",-0.123232596340884,0.120135564177551,-1.02577947824638,0.304995541352837,-0.358693975391285,0.112228782709517,-0.101926474679963,-0.0457696344535636,-0.101926474679963
"Anx","~","BRS","b2",-0.574611743769682,0.0587369372249145,-9.78280058371768,0,-0.689734025292704,-0.459489462246659,-0.497970429856552,-0.497970429856552,-0.497970429856552
"Anx","~","RES_Suburb_Semi_Urban","d1",0.0872028596863262,0.128451979861238,0.678875170164978,0.497216959507977,-0.164558394584565,0.338964113957217,0.0754955533594723,0.031944328455582,0.0754955533594723
"Anx","~","RES_Rural","d2",-0.0625714527313428,0.12136844708262,-0.515549586695692,0.606169028236171,-0.300449237872834,0.175306332410148,-0.0541710038575662,-0.0243252506508084,-0.0541710038575662
"Str","~","BRS","b3",-0.606584116774756,0.0664905303436013,-9.12286476946608,0,-0.736903161561182,-0.47626507198833,-0.518016001946289,-0.518016001946289,-0.518016001946289
"Str","~","RES_Suburb_Semi_Urban","e1",0.135337840360887,0.134008903645421,1.00991677925358,0.312535162960476,-0.127314784391837,0.39799046511361,0.115460377242438,0.0488545887818845,0.115460377242438
"Str","~","RES_Rural","e2",0.00100866984509326,0.123714366873398,0.00815321510819731,0.993494747617029,-0.241467033596943,0.243484373287129,0.000860523564710263,0.000386414315997222,0.000860523564710263
"Dep","~~","Anx","",0.67563139464772,0.0376792778556066,17.9311131502269,0,0.601781367087253,0.749481422208186,0.67563139464772,0.67563139464772,0.67563139464772
"Dep","~~","Str","",0.757497382843452,0.0381477297690819,19.8569452868829,0,0.682729206404085,0.832265559282819,0.757497382843452,0.757497382843452,0.757497382843452
"Anx","~~","Str","",0.919744971426548,0.0310630032484192,29.6090163617181,0,0.858862603807996,0.980627339045101,0.919744971426548,0.919744971426548,0.919744971426548
"dQ3D","|","t1","",-0.134896938231994,0.0814994162185906,-1.65518901227691,0.0978861633527779,-0.294632858781471,0.024838982317483,-0.134896938231994,-0.114898781775525,-0.114898781775525
"dQ3D","|","t2","",0.557440742184543,0.0846340076340737,6.58648642274759,4.50357529047096e-11,0.39156113535447,0.723320349014615,0.557440742184543,0.474801452342063,0.474801452342063
"dQ3D","|","t3","",1.30202093382794,0.096676183721807,13.4678561327431,0,1.11253909557042,1.49150277208546,1.30202093382794,1.10899936724865,1.10899936724865
"dQ5D","|","t1","",-0.894149649853193,0.0836975621334944,-10.68310267421,0,-1.05819385722865,-0.730105442477741,-0.894149649853193,-0.774791976243983,-0.774791976243983
"dQ5D","|","t2","",0.0861973988042814,0.0781865995210363,1.10245744580681,0.27026284900703,-0.0670455203306063,0.239440317939169,0.0861973988042814,0.0746911358491558,0.0746911358491558
"dQ5D","|","t3","",0.842612834627608,0.083267501064399,10.1193481713344,0,0.679411531458735,1.00581413779648,0.842612834627608,0.730134674276121,0.730134674276121
"dQ10D","|","t1","",-0.275490376241405,0.0960229973519928,-2.86900413274474,0.00411766418410409,-0.463691992738895,-0.0872887597439138,-0.275490376241405,-0.195898534312085,-0.195898534312085
"dQ10D","|","t2","",0.61536483760984,0.101550897779535,6.05966910253993,1.36401867578684e-09,0.416328735364243,0.814400939855438,0.61536483760984,0.437579967037861,0.437579967037861
"dQ10D","|","t3","",1.37931278652413,0.112445434798705,12.2665076531859,0,1.15892378409272,1.59970178895554,1.37931278652413,0.980815943280797,0.980815943280797
"dQ13D","|","t1","",-1.14615943992522,0.107028888087897,-10.7088792605595,0,-1.35593220588286,-0.936386673967573,-1.14615943992522,-0.775848631886808,-0.775848631886808
"dQ13D","|","t2","",0.0564031078889725,0.0996933298435614,0.565766114718809,0.57155278423277,-0.13899222810328,0.251798443881225,0.0564031078889725,0.0381799185745733,0.0381799185745733
"dQ13D","|","t3","",0.979455208581883,0.106118238267191,9.2298479938552,0,0.771467283475348,1.18744313368842,0.979455208581883,0.66300460224124,0.66300460224124
"dQ16D","|","t1","",-0.371843589884568,0.0843407248307012,-4.40882611135933,1.03932430131071e-05,-0.537148372982745,-0.20653880678639,-0.371843589884568,-0.302573852747352,-0.302573852747352
"dQ16D","|","t2","",0.578134125998115,0.0874127655438224,6.61384092359235,3.74473785313967e-11,0.40680825374318,0.749459998253051,0.578134125998115,0.47043508256328,0.47043508256328
"dQ16D","|","t3","",1.28627980967411,0.0959384223977821,13.4073479376272,0,1.09824395704087,1.47431566230736,1.28627980967411,1.04666222119103,1.04666222119103
"dQ17D","|","t1","",-0.164197303232945,0.0915676121485617,-1.79318100996832,0.0729439855409624,-0.343666525194458,0.0152719187285682,-0.164197303232945,-0.120842396678591,-0.120842396678591
"dQ17D","|","t2","",0.503307289350953,0.0950751546267302,5.29378354762569,1.19811236265477e-07,0.316963410457985,0.689651168243921,0.503307289350953,0.370413264490029,0.370413264490029
"dQ17D","|","t3","",1.2101023354421,0.100519915747793,12.0384336421279,0,1.01308692084742,1.40711775003677,1.2101023354421,0.890585067854166,0.890585067854166
"dQ21D","|","t1","",0.158005274644849,0.0990279464167288,1.59556246859783,0.110586512559793,-0.0360859337949017,0.3520964830846,0.158005274644849,0.113598528057848,0.113598528057848
"dQ21D","|","t2","",0.714745325917931,0.103862825302772,6.88162799186682,5.91726667664716e-12,0.511177928991922,0.918312722843941,0.714745325917931,0.513869028378991,0.513869028378991
"dQ21D","|","t3","",1.32922888765698,0.115149921543557,11.5434632506821,0,1.10353918860899,1.55491858670496,1.32922888765698,0.955654457923669,0.955654457923669
"dQ2A","|","t1","",-0.430495906206618,0.0743421915714284,-5.79073467040577,7.00792091024027e-09,-0.576203924218395,-0.284787888194841,-0.430495906206618,-0.408657186424832,-0.408657186424832
"dQ2A","|","t2","",0.168648292407637,0.0730368858802839,2.30908383312059,0.0209389296971616,0.025498626539319,0.311797958275956,0.168648292407637,0.160092896766315,0.160092896766315
"dQ2A","|","t3","",0.643369997631777,0.0753471402661685,8.53874474013256,0,0.495692316371999,0.791047678891555,0.643369997631777,0.61073234210075,0.61073234210075
"dQ4A","|","t1","",0.0610201404402242,0.0804786181671071,0.758215558740348,0.448321948415885,-0.0967150526928565,0.218755333573305,0.0610201404402242,0.0527180057260922,0.0527180057260922
"dQ4A","|","t2","",0.786240959303746,0.0851486103908845,9.23374974288383,0,0.619352749603979,0.953129169003512,0.786240959303746,0.67926843654624,0.67926843654624
"dQ4A","|","t3","",1.25382337922313,0.0904351556607458,13.8643359439404,0,1.07657373119179,1.43107302725446,1.25382337922313,1.08323362759455,1.08323362759455
"dQ7A","|","t1","",-0.187359247437534,0.0827108918171924,-2.26523065247121,0.0234985290567242,-0.34946961652842,-0.0252488783466488,-0.187359247437534,-0.157112420348519,-0.157112420348519
"dQ7A","|","t2","",0.555541252038622,0.0852506478999705,6.51656340125966,7.19364567913772e-11,0.388453052495975,0.722629451581269,0.555541252038622,0.465856006068419,0.465856006068419
"dQ7A","|","t3","",1.16317839095391,0.0908339438801195,12.8055475879045,0,0.985147132375147,1.34120964953268,1.16317839095391,0.975397664109394,0.975397664109394
"dQ9A","|","t1","",-1.23563392537588,0.100203406104088,-12.3312567248696,0,-1.43202899246813,-1.03923885828362,-1.23563392537588,-0.903282851235428,-0.903282851235428
"dQ9A","|","t2","",-0.118028668843279,0.0920006827985711,-1.2829107921046,0.199523331438366,-0.298346693681572,0.0622893559950144,-0.118028668843279,-0.0862822477845511,-0.0862822477845511
"dQ9A","|","t3","",0.792522137089906,0.0939976133842105,8.43130063154382,0,0.608290200224133,0.976754073955679,0.792522137089906,0.579355779212682,0.579355779212682
"dQ15A","|","t1","",-0.568687085965351,0.106425811172562,-5.34350717837861,9.11652173751776e-08,-0.777277842889033,-0.360096329041669,-0.568687085965351,-0.364521450197251,-0.364521450197251
"dQ15A","|","t2","",0.512602546147087,0.108377935572046,4.72976850353756,2.2477599554982e-06,0.300185695707074,0.725019396587099,0.512602546147087,0.328571947750759,0.328571947750759
"dQ15A","|","t3","",1.51037404415794,0.119684820765601,12.6195956554588,0,1.27579610596123,1.74495198235465,1.51037404415794,0.968131245643026,0.968131245643026
"dQ19A","|","t1","",-0.436200699027231,0.0831304784922713,-5.24718138207017,1.54443828392914e-07,-0.599133442889664,-0.273267955164797,-0.436200699027231,-0.35980217782338,-0.35980217782338
"dQ19A","|","t2","",0.331590021780231,0.0834497976931419,3.97352697006577,7.08161353979442e-05,0.168031423784519,0.495148619775943,0.331590021780231,0.273513573561653,0.273513573561653
"dQ19A","|","t3","",1.02862716738251,0.0899627009341757,11.4339293585143,0,0.852303513599578,1.20495082116544,1.02862716738251,0.848467908964578,0.848467908964578
"dQ20A","|","t1","",-0.128266462359805,0.0889892207722528,-1.44137077779423,0.149479961343184,-0.302682130085704,0.0461492053660944,-0.128266462359805,-0.099624486596628,-0.099624486596628
"dQ20A","|","t2","",0.789492929189643,0.0949098051786483,8.31834948668986,0,0.60347312925978,0.975512729119507,0.789492929189643,0.613198698203389,0.613198698203389
"dQ20A","|","t3","",1.52811319598234,0.105229933600711,14.5216588445325,0,1.3218663160294,1.73436007593527,1.52811319598234,1.18688462915759,1.18688462915759
"dQ1S","|","t1","",-0.454301565994418,0.0722972340323209,-6.28380286016641,3.30389715585966e-10,-0.596001540879631,-0.312601591109206,-0.454301565994418,-0.432510462047213,-0.432510462047213
"dQ1S","|","t2","",0.38180385484933,0.0722138270332277,5.28712949493247,1.24250683963822e-07,0.240267354678399,0.523340355020261,0.38180385484933,0.363490188088675,0.363490188088675
"dQ1S","|","t3","",0.971525136078006,0.0769981854427129,12.6175068995727,0,0.820611465735352,1.12243880642066,0.971525136078006,0.924924800943219,0.924924800943219
"dQ6S","|","t1","",-0.633254917866672,0.0850395134104193,-7.44659620534804,9.57012247226885e-14,-0.799929301413905,-0.466580534319439,-0.633254917866672,-0.525637632367279,-0.525637632367279
